DATE,MEAN_TEMP,MEDIAN_TEMP,VAR_TEMP,TOTAL_PRCP,MEAN_PRCP,MEDIAN_PRCP,VAR_PRCP,MIN_PRCP,MAX_PRCP,MIN,MAX
1969-02-28,38.724955102040816,38.2,197.81615162260746,71.89,0.005868571428571429,0.0,0.004395886064168507,0.0,1.89,-27.0,88.0
1969-03-31,42.24260079751883,42.7,199.04093298869574,74.06,0.005468911534485305,0.0,0.005272326446477774,0.0,2.6,-18.9,96.1
1969-04-30,56.83355489342196,57.0,118.23701120803877,74.44,0.00568721827488731,0.0,0.00504731383493408,0.0,3.66,6.1,97.3
1969-05-31,64.51552386581942,65.3,99.32566972849936,88.0,0.0065021427515885915,0.0,0.007272475536677773,0.0,3.66,21.9,109.0
1969-06-30,70.39974797617229,70.5,104.81324747333029,82.53,0.006302886818390103,0.0,0.0059651663294033675,0.0,2.76,24.1,111.2
1969-07-31,76.03888188626084,77.0,74.68058952534798,106.59,0.007903166011714985,0.0,0.009398539339671592,0.0,3.23,34.3,116.1
1969-08-31,75.24175865155131,75.6,60.10078983598121,91.96,0.006858591885441527,0.0,0.011440209136288078,0.0,5.87,34.0,117.3
1969-09-30,68.44560401389425,68.9,82.4788480120886,87.78,0.0067757622539560015,0.0,0.010012214265041498,0.0,4.69,25.0,111.0
1969-10-31,56.76045294865087,57.8,175.401304055549,59.76,0.004466701547200837,0.0,0.0034010367704843114,0.0,2.17,0.0,104.0
1969-11-30,47.09902264970524,46.8,158.0332439442544,63.67,0.0049387216878684454,0.0,0.006975583863946376,0.0,5.24,-11.9,95.0
1969-12-31,39.2726368159204,38.7,196.3153944337868,110.45,0.008325795266093774,0.0,0.008828896789510756,0.0,3.23,-20.0,88.0
1970-01-31,32.98203610984676,34.6,337.45042304459605,58.86,0.004465179790623578,0.0,0.00325330244423974,0.0,2.4,-36.0,90.0
1970-02-28,40.2173525204073,41.1,218.25165139793685,60.17,0.005063536144071363,0.0,0.0038646210259393617,0.0,1.85,-35.0,87.1
1970-03-31,44.555002654934384,43.9,196.10230523250678,86.16,0.0065356899036638095,0.0,0.005280874295091814,0.0,2.28,-18.0,92.3
1970-04-30,55.132584798994976,55.4,181.19360795511832,58.9,0.004624685929648241,0.0,0.005313498704259418,0.0,3.15,-4.0,101.3
